date,code,name,prob_up_rf,prob_up_lgb,prob_up_ensemble,next_date,next_pct_chg,pred_date_close,next_close
2026-05-29,000592,平潭发展,62.6,53.6,58.1,2026-06-01,0.3497,8.58,8.61
2026-05-29,001390,古麒绒材,67.7,56.1,61.9,2026-06-01,2.9379,17.7,18.22
2026-05-29,300652,雷迪克,35.2,40.7,38.0,2026-06-01,-8.1292,46.13,42.38
2026-05-29,300676,华大基因,61.4,37.0,49.2,2026-06-01,-1.0601,36.79,36.4
2026-05-29,600372,中航机载,51.5,53.3,52.4,2026-06-01,1.8851,11.14,11.35
2026-05-29,601801,皖新传媒,39.2,34.9,37.1,2026-06-01,2.6408,5.68,5.83
2026-05-29,603189,*ST网达,50.2,50.8,50.5,2026-06-01,5.0,11.8,12.39
2026-05-29,603557,*ST起步,52.9,49.0,50.9,2026-06-01,-0.4228,4.73,4.71
2026-05-29,605368,蓝天燃气,65.7,49.8,57.8,2026-06-01,4.03,6.94,7.22
2026-05-29,688202,美迪西,34.9,39.6,37.2,2026-06-01,-3.2529,59.64,57.7
2026-05-30,000592,平潭发展,62.6,53.6,58.1,,,,
2026-05-30,001390,古麒绒材,67.7,56.1,61.9,,,,
2026-05-30,300652,雷迪克,35.2,40.7,38.0,,,,
2026-05-30,300676,华大基因,61.4,37.0,49.2,,,,
2026-05-30,600372,中航机载,51.5,53.3,52.4,,,,
2026-05-30,601801,皖新传媒,39.2,34.9,37.1,,,,
2026-05-30,603189,*ST网达,50.2,50.8,50.5,,,,
2026-05-30,603557,*ST起步,52.9,49.0,50.9,,,,
2026-05-30,605368,蓝天燃气,65.7,49.8,57.8,,,,
2026-05-30,688202,美迪西,34.9,39.6,37.2,,,,
2026-06-01,000592,平潭发展,59.7,48.0,53.8,2026-06-02,-2.7875,8.61,8.37
2026-06-01,001390,古麒绒材,57.8,32.1,45.0,2026-06-02,-3.4577,18.22,17.59
2026-06-01,300652,雷迪克,46.5,68.0,57.3,2026-06-02,2.3124,42.38,43.36
2026-06-01,300676,华大基因,69.0,33.5,51.3,2026-06-02,-0.8242,36.4,36.1
2026-06-01,600372,中航机载,42.1,38.0,40.0,2026-06-02,-1.2335,11.35,11.21
2026-06-01,601801,皖新传媒,44.7,30.4,37.6,2026-06-02,-1.2007,5.83,5.76
2026-06-01,603189,*ST网达,42.3,56.8,49.6,2026-06-02,5.004,12.39,13.01
2026-06-01,603557,*ST起步,40.4,46.5,43.4,2026-06-02,5.0955,4.71,4.95
2026-06-01,605368,蓝天燃气,24.6,27.6,26.1,2026-06-02,-0.97,7.22,7.15
2026-06-01,688202,美迪西,27.9,47.9,37.9,2026-06-02,-2.7903,57.7,56.09
2026-06-02,000592,平潭发展,69.7,39.1,54.4,2026-06-03,-1.7921,8.37,8.22
2026-06-02,001390,古麒绒材,63.7,41.7,52.7,2026-06-03,-2.4446,17.59,17.16
2026-06-02,300652,雷迪克,50.4,57.2,53.8,2026-06-03,-3.298,43.36,41.93
2026-06-02,300676,华大基因,68.1,38.2,53.2,2026-06-03,-1.9114,36.1,35.41
2026-06-02,600372,中航机载,59.7,46.5,53.1,2026-06-03,-0.7136,11.21,11.13
2026-06-02,601801,皖新传媒,40.5,40.5,40.5,2026-06-03,-1.9097,5.76,5.65
2026-06-02,603189,*ST网达,34.4,40.7,37.5,2026-06-03,-1.153,13.01,12.86
2026-06-02,603557,*ST起步,64.0,53.5,58.7,2026-06-03,-0.8081,4.95,4.91
2026-06-02,605368,蓝天燃气,33.6,32.2,32.9,2026-06-03,0.0,7.15,7.15
2026-06-02,688202,美迪西,30.7,46.4,38.6,2026-06-03,-0.2496,56.09,55.95
2026-06-03,000592,平潭发展,74.0,45.3,59.6,2026-06-04,-2.0681,8.22,8.05
2026-06-03,001390,古麒绒材,63.7,49.5,56.6,2026-06-04,-0.0583,17.16,17.15
2026-06-03,300652,雷迪克,55.1,64.7,59.9,2026-06-04,0.6201,41.93,42.19
2026-06-03,300676,华大基因,70.5,40.6,55.6,2026-06-04,-2.2592,35.41,34.61
2026-06-03,600372,中航机载,50.1,42.8,46.4,2026-06-04,-0.8086,11.13,11.04
2026-06-03,601801,皖新传媒,32.7,39.2,36.0,2026-06-04,-1.7699,5.65,5.55
2026-06-03,603189,*ST网达,36.9,43.1,40.0,2026-06-04,-2.0218,12.86,12.6
2026-06-03,603557,*ST起步,53.2,38.9,46.1,2026-06-04,-0.2037,4.91,4.9
2026-06-03,605368,蓝天燃气,27.0,25.2,26.1,2026-06-04,-1.26,7.15,7.06
2026-06-03,688202,美迪西,33.3,48.2,40.7,2026-06-04,-0.1609,55.95,55.86
2026-06-04,000592,平潭发展,72.1,53.0,62.5,2026-06-05,0.1242,8.05,8.06
2026-06-04,001390,古麒绒材,64.6,45.0,54.8,2026-06-05,0.0,17.15,17.15
2026-06-04,300652,雷迪克,44.4,53.0,48.7,2026-06-05,1.9673,42.19,43.02
2026-06-04,300676,华大基因,67.9,49.0,58.4,2026-06-05,0.8957,34.61,34.92
2026-06-04,600372,中航机载,58.6,53.2,55.9,2026-06-05,1.1775,11.04,11.17
2026-06-04,601801,皖新传媒,43.0,51.5,47.3,2026-06-05,0.9009,5.55,5.6
2026-06-04,603189,*ST网达,30.2,47.3,38.7,2026-06-05,-1.1111,12.6,12.46
2026-06-04,603557,*ST起步,49.6,39.9,44.8,2026-06-05,-2.0408,4.9,4.8
2026-06-04,605368,蓝天燃气,31.4,34.8,33.1,2026-06-05,0.28,7.06,7.08
2026-06-04,688202,美迪西,39.9,56.4,48.2,2026-06-05,-1.9871,55.86,54.75
2026-06-05,000592,平潭发展,72.6,41.3,56.9,2026-06-08,-3.2258,8.06,7.8
2026-06-05,001390,古麒绒材,63.4,40.0,51.7,2026-06-08,-2.8571,17.15,16.66
2026-06-05,300652,雷迪克,44.9,37.2,41.1,2026-06-08,-2.7662,43.02,41.83
2026-06-05,300676,华大基因,58.5,41.7,50.1,2026-06-08,-3.7801,34.92,33.6
2026-06-05,600372,中航机载,57.4,41.5,49.4,2026-06-08,-2.9543,11.17,10.84
2026-06-05,601801,皖新传媒,35.5,53.1,44.3,2026-06-08,-0.5357,5.6,5.57
2026-06-05,603189,*ST网达,41.2,45.6,43.4,2026-06-08,-3.7721,12.46,11.99
2026-06-05,603557,*ST起步,39.5,41.3,40.4,2026-06-08,-3.5417,4.8,4.63
2026-06-05,605368,蓝天燃气,41.9,35.1,38.5,2026-06-08,-1.84,7.08,6.95
2026-06-05,688202,美迪西,37.9,53.1,45.5,2026-06-08,-6.2831,54.75,51.31
2026-06-07,000592,平潭发展,72.6,41.3,56.9,,,,
2026-06-07,001390,古麒绒材,63.4,40.0,51.7,,,,
2026-06-07,300652,雷迪克,44.9,37.2,41.1,,,,
2026-06-07,300676,华大基因,58.5,41.7,50.1,,,,
2026-06-07,600372,中航机载,57.4,41.5,49.4,,,,
2026-06-07,601801,皖新传媒,35.5,53.1,44.3,,,,
2026-06-07,603189,*ST网达,41.2,45.6,43.4,,,,
2026-06-07,603557,*ST起步,39.5,41.3,40.4,,,,
2026-06-07,605368,蓝天燃气,41.9,35.1,38.5,,,,
2026-06-07,688202,美迪西,37.9,53.1,45.5,,,,
